participant,n_trials,complete_ratings,has_engagement,has_ai_usage,has_familiarity,exclude,duration,progress,finished,age_band,gender,colour_vision,familiarity,engagement,engagement_z,engagement_hi,engagement_lo,engagement_group,engagement_7item,engagement_7item_z,ai_usage,ai_usage_z,dist_none,dist_human,dist_ai,rating_none,rating_human,rating_ai,slope_none,slope_human,slope_ai,sd_none,sd_human,sd_ai
R_8VIZHW9dZJiYWlP,27,yes,yes,yes,yes,,421,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,1.0,0.6053668015775303,-0.3946331984224697,1.6053668015775302,high,1.0,0.2627,0.5,-0.0758,3.5556,3.8889,2.6667,5.7778,6.5556,5.6667,-0.3137,-0.127,0.275,2.4381,2.0683,1.9365
R_8FXtcDTHPfB1k2L,27,yes,yes,yes,yes,,322,100,True,25-34 years old,Male,"Yes, but I still perceive colours",1.0,1.1666666666666667,0.9363006531065804,-0.0636993468934197,1.9363006531065805,high,1.2857,0.8529,0.25,-0.5878,2.6667,3.3333,1.4444,3.3333,3.8889,4.6667,-0.0714,-0.0754,0.7915,2.2913,2.6667,2.7386
R_6F9eLoXgiG3LlAH,0,no,no,no,no,under18,11,100,True,Under 18,,,,,,,,,,,,,,,,,,,,,,,,
R_3UjmhFmcDuRtWtX,0,no,no,no,no,under18,9,100,True,Under 18,,,,,,,,,,,,,,,,,,,,,,,,
R_5EL1Y4kW3t7Zafv,0,no,no,no,no,under18,9,100,True,Under 18,,,,,,,,,,,,,,,,,,,,,,,,
R_8VKNK1OijVNPSXD,0,no,no,no,no,under18,14,100,True,Under 18,,,,,,,,,,,,,,,,,,,,,,,,
R_24Yq5SQnY9lfmRH,27,yes,yes,yes,yes,,244,100,True,18-24 years old,Female,"No, I am not colourblind",1.0,2.5,3.583771465338979,2.583771465338979,4.5837714653389785,high,2.2857,2.9188,1.125,1.2041,2.4444,3.5556,2.5556,6.7778,5.2222,5.3333,0.3342,-0.0663,-0.0633,2.2791,2.5874,1.9365
R_9OVkuTbzx5Ir8QR,27,yes,yes,yes,yes,,584,100,True,45-54 years old,Female,"No, I am not colourblind",2.0,0.3333333333333333,-0.7183686045386691,-1.7183686045386692,0.2816313954613308,low,0.5714,-0.6227,1.75,2.484,2.3333,2.4444,3.1111,3.7778,4.8889,3.8889,-0.0633,0.172,0.1316,1.3944,1.3642,1.3642
R_9Jw8GfYjV1LaJ2H,27,yes,yes,yes,yes,,588,100,True,18-24 years old,Female,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,0.7143,-0.3275,0.5,-0.0758,2.5556,2.7778,2.7778,4.8889,4.5556,5.1111,0.0402,-0.1,0.1099,0.928,1.9437,2.1473
R_4dwWNmhLqVCdg65,27,yes,yes,yes,yes,,421,100,True,55-64 years old,Male,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.7143,-0.3275,1.25,1.46,2.4444,1.7778,2.7778,4.8889,5.2222,4.5556,0.1717,0.25,-0.291,1.3642,1.3017,1.8782
R_2je1DFVl0Y7F64V,27,yes,yes,yes,yes,,492,100,True,25-34 years old,Female,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.5714,-0.6227,0.25,-0.5878,2.6667,3.6667,3.0,5.0,4.2222,4.3333,0.2941,-0.8116,0.0847,2.7386,2.5874,2.2913
R_8jeSi3n9R7bzzlC,27,yes,yes,yes,yes,,356,100,True,45-54 years old,Male,"No, I am not colourblind",1.0,0.1666666666666666,-1.049302456067719,-2.049302456067719,-0.0493024560677191,low,0.1429,-1.5079,0.25,-0.5878,3.2222,2.5556,2.3333,2.7778,3.4444,2.7778,-0.0479,-0.2714,-0.0735,0.6667,1.5899,0.8333
R_20k4DqT2gbaTZGb,27,yes,yes,yes,yes,,412,100,True,18-24 years old,Male,"No, I am not colourblind",1.0,0.1666666666666666,-1.049302456067719,-2.049302456067719,-0.0493024560677191,low,0.1429,-1.5079,0.625,0.1801,2.3333,3.3333,2.2222,2.8889,4.7778,6.1111,0.369,-0.1811,0.3759,2.2048,1.7873,2.2608
R_2JFyGLsswpayT8k,27,yes,yes,yes,yes,,716,100,True,45-54 years old,Male,"No, I am not colourblind",1.0,0.5,-0.3874347530096192,-1.3874347530096192,0.6125652469903808,low,0.7143,-0.3275,1.0,0.9481,2.2222,2.6667,1.6667,5.6667,6.3333,4.8889,-0.0577,0.0381,0.4074,1.7321,1.118,1.7638
R_4LcA4HvnCffuiOD,27,yes,yes,yes,yes,,306,100,True,65+ years old,Female,"No, I am not colourblind",1.0,0.6666666666666666,-0.0565009014805694,-1.0565009014805695,0.9434990985194304,low,0.8571,-0.0325,0.0,-1.0998,3.6667,2.7778,4.3333,3.4444,3.2222,3.3333,0.3116,0.1267,-0.1542,1.7401,0.9718,1.6583
